id	Type	Ideal guy	Guy's age	Nationality	Would NOT choose	Looks she likes	Style	Guy's height	Girl's character	Hidden desire
1	Soft classy	reliable, respectful, stable	older/same age	any	immature, disrespectful, chaotic	clean look, fit, good posture	classic/clean	190	calm, loyal	security and consistency
2	Ambitious achiever	driven, intelligent, high standards	same age/older	any	unmotivated, jealous, controlling	well-groomed, confident	smart casual	190	goal-oriented, disciplined	to build a strong future
3	Creative indie	curious, artistic, emotionally aware	same age	any	rigid, judgmental, status-obsessed	unique style, expressive face	indie/arts	190	creative, sensitive	to be understood deeply
4	Sporty energy	active, supportive, fun	same age	any	lazy, pessimistic	athletic build, simple haircut	sport/casual	190	energetic, upbeat	shared lifestyle and adventure
5	Traditional values	responsible, family-oriented, principled	older	any	party-only, disrespectful	neat, modest, respectful vibe	modest/traditional	190	modest, caring	commitment and family stability
6	Social butterfly	confident, charismatic, socially skilled	same age/older	any	awkward, possessive, boring	stylish, confident smile	trendy	190	outgoing, talkative	attention and excitement
7	Minimalist calm	emotionally stable, low-drama	same age	any	dramatic, loud, unreliable	clean lines, simple fit	minimal/neutral	185	quiet, thoughtful	peace and emotional safety
8	Intellectual nerdy	smart, curious, respectful	same age	any	anti-intellectual, rude	nerdy charm, tidy	simple/smart	180	analytical, kind	mental connection
9	Luxury oriented	status, generosity, ambition	older/same age	any	cheap, insecure, messy	clean shoes, premium grooming	luxury	190	high standards, selective	status and comfort
10	Romantic soft	gentle, caring, consistent	same age/older	any	cold, emotionally unavailable	warm eyes, kind face	soft/clean	185	warm, affectionate	to feel chosen and safe
11	Rebel alt	confident, independent, bold	same age	any	controlling, conservative, judgmental	edgy style, expressive	alt/street	190	independent, bold	freedom and self-expression
12	Pragmatic realist	responsible, competent, honest	same age/older	any	irresponsible, liar	practical style, neat hair	smart casual	190	practical, direct	reliability and respect